"state_abrev","county","area_name","county_pop","pct_nh_white","pct_black","pct_hispanic","pct_asian","pct_nativeamerican","median_age","median_household_income","total_daily_commuting","pct_college_grad","pct_obesity","pct_diabetic","pct_smokers"
"ma","001","Barnstable County, Massachusetts",215167,0.91468487268029019320,0.02502242444240984909,0.02447866076117620267,0.01331059130814669536,0.00422927307626169440,50.8,61597,48.2638355111452728,0.39882455297116747687,0.20000000000000000000,0.10100000000000000000,0.12000000000000000000
"ma","003","Berkshire County, Massachusetts",130064,0.89856532168778447534,0.02800159921269528847,0.03772758026817566736,0.01377014392914257596,0.00283706482962233977,45.4,49737,40.7508455856975220,0.31294135296449888021,0.23000000000000000000,0.10200000000000000000,0.15000000000000000000
"ma","005","Bristol County, Massachusetts",551065,0.84750437788645622567,0.03651656338181521236,0.06502318238320343335,0.02013192636077413735,0.00168401186792846579,40.4,55957,54.1856557556549196,0.25574191638606822110,0.28000000000000000000,0.10500000000000000000,0.19000000000000000000
"ma","007","Dukes County, Massachusetts",16915,0.94182678096364173810,0.01803133313626958321,0.00372450487732781555,0.00892698788057936743,0.00650310375406443985,45.7,65518,29.6497803049883690,0.41155120719583399085,0.22000000000000000000,0.10400000000000000000,0.15000000000000000000
"ma","009","Essex County, Massachusetts",757395,0.74424969797793753590,0.03793661167554578522,0.17624357171621148806,0.03377761933997451792,0.00168208134460882367,40.6,68776,57.0378303659658082,0.37237903732077009703,0.24000000000000000000,0.09900000000000000000,0.15000000000000000000
"ma","011","Franklin County, Massachusetts",71300,0.91791023842917251052,0.01071528751753155680,0.03509116409537166900,0.01690042075736325386,0.00272089761570827489,44.9,54072,48.2169805886757676,0.34354532009296429326,0.22000000000000000000,0.10000000000000000000,0.15000000000000000000
"ma","013","Hampden County, Massachusetts",466447,0.66074602259206297822,0.08664221229850336694,0.22115910274907974539,0.02052108814077483616,0.00338302100774578891,38.7,50036,45.4884504697468798,0.25447635847184482390,0.29000000000000000000,0.11100000000000000000,0.18000000000000000000
"ma","015","Hampshire County, Massachusetts",160328,0.85301382166558554962,0.02705079586846963724,0.05027817973155032184,0.05138216655855496233,0.00136594980290404670,35.8,61460,46.9264414055644802,0.43205656921234944382,0.21000000000000000000,0.07900000000000000000,0.15000000000000000000
"ma","017","Middlesex County, Massachusetts",1539832,0.75475116765984860686,0.04791756503306854254,0.07071161009772494662,0.10110258781477459879,0.00138651489253373095,38.5,83488,57.7557244886561496,0.51294220766963636601,0.23000000000000000000,0.08200000000000000000,0.12000000000000000000
"ma","019","Nantucket County, Massachusetts",10414,0.77818321490301517188,0.08133282120222777031,0.07230651046667946994,0.01248319569809871327,0.000096024582293067025158,39.9,86529,25.6069463548830812,0.45711630377057886352,0.21000000000000000000,0.08600000000000000000,0.15000000000000000000
"ma","021","Norfolk County, Massachusetts",682860,0.78890255689306739302,0.06135811147233693583,0.03665465834870983803,0.09427554696423864335,0.00091087484989602554,40.8,86469,63.8853448957376810,0.49910233393177737882,0.20000000000000000000,0.08900000000000000000,0.12000000000000000000
"ma","023","Plymouth County, Massachusetts",500772,0.83491289449090604107,0.08803207847084102146,0.03408537218534582604,0.01194156222792009138,0.00177925283362488318,41.8,75816,65.0716566959888454,0.33984364725652078615,0.26000000000000000000,0.10000000000000000000,0.17000000000000000000
"ma","025","Suffolk County, Massachusetts",747928,0.47075520638350215529,0.22165368859034559476,0.20900808633986159096,0.08429019905659368281,0.00360328801702837706,31.9,54169,58.9301581949784378,0.40967378851526541113,0.21000000000000000000,0.08700000000000000000,0.15000000000000000000
"ma","027","Worcester County, Massachusetts",806804,0.79660363607518058909,0.04424122835285893476,0.09976152820263657592,0.04329800050569902975,0.00212691062513324178,39.6,65453,55.9560772839038142,0.34141269153677285776,0.26000000000000000000,0.09300000000000000000,0.16000000000000000000
